,rank,songid,title,artist,like,release_date,genre,lyric
695,696,4682464,아지랑이,쏜애플 (THORNAPPLE),26150,2014.06.12,"인디음악, 록/메탈","녹아 흐르는 아스팔트 위에
귀를 기울여 들었던 소리
오늘도 지구는 나를 제쳐 두고
아무렇지 않게 돌아가
따가운 날을 피해서 다니다
만나 버렸던 많은 사람들
어딘가 멀리에 멀고 먼 나라에
모두 잠을 자러 돌아가
나는 얼마나 더 달아날 수 있을까
너덜너덜 헤진 몸뚱일 가누네
나는 얼마나 더 
너의 까만 눈을 견뎌내야
제대로 설 수 있을까
나는 지금 여기에 살아있어
차는 숨을 내쉬며 살아있어
다신 그대와 느릿느릿하게
늘어져 가는 시간을
세어 볼 수 없어도
당신의 체온을 느끼려 해도
여전히 이곳은 나쁜 날씨
좋은 시절들은 항상 끝이 날까
마음만 잔뜩 커다래져
나는 얼마나 더 살아갈 수 있을까
헤아릴 수 없는 내일이 불안해
나는 얼마나 더 
돌아가는 땅을 견뎌내야
제대로 설 수 있을까
나는 지금 여기에 살아있어
차는 숨을 내쉬며 살아있어
어지러워요 날 찾아내 줘요
꺼지지 않는 나의 두려움 
새빨갛게 흐드러진 해 질 무렵 공기
하루만큼 늙어 버린 사람들의 냄새
무엇보다 숨을 참기 힘든 이 세계를 
분명 나는
좋아한다 생각해
나는 지금 여기에 살아있어
차는 숨을 내쉬며 살아있어
그대도 어딘가에서 살아가
꺼지지 않는 나의 그리움"
696,697,35875972,흔적,최유리,7010,2022.11.30,"발라드, 인디음악","흔적이 남은 우리의 이 좋은 날에
아마도 난 기쁨의 널 또 찾아와
넌 어찌 그래 나만을 사랑한다
있지 나도 그래
흔적이 없는 우리는 생각도 안 돼
아마도 난 기쁨에 널 또 찾아와
넌 어찌 그래 나만을 바라본다
알지 나도 그래
아픈 말에 지쳐와도
사랑을 해 사랑을 해 난 또
나도 네게 같은 말을
하면서도 사랑을 해 난 또
울적한 날 나마저 내게 기운 날에
아직도 난 기쁨의 널 또 찾아와
너 역시 그래 나만을 사랑한다
알지 나도 그래
아픈 말에 지쳐와도
사랑을 해 사랑을 해 난 또
나도 네게 같은 말을
하면서도 사랑을 해 난 또
난 네게 하루 잠도 없이 파고드는
아침과 밤 기쁨에 널 또 찾아와
우린 늘 그래 너만을 사랑한다"
697,698,38196512,떠나갈래,Yyeon,610,2024.11.09,"R&B/Soul, 인디음악","이번 겨울에는 기차 타고
같이 떠나갈래?
Just follow my track
우리 어디던지 가자고
두 손 꼭 잡고
매일 봤던 것도 예뻐보이는
마법이 펼쳐진다고
이번 겨울에는 기차 타고
같이 떠나갈래?
Just follow my track
Let’s trip all day
day all day
All night 오늘은 다 미뤄도 될 것 같아
Wait, flash!
나를 쳐다봐
내 눈 안의 필름에 너를 담아서
너와 나
지금이야
모든 별들이 우릴 위해 빛나고
하늘의 불빛이
너보다 이쁘지는 않을것만 같애
Shine, Night or day
이번 겨울에는 기차 타고
같이 떠나갈래?
Just follow my track
Let’s trip all day
day all day
All night 오늘은 다 미뤄도 될 것 같아
밤하늘을 등지고서
미처 못나눴던 얘기들을
전하고 싶어 말 하고 싶어
널 안고싶다 말 하고 싶어
친구로서 말고 더
이번 겨울에는 기차 타고
같이 떠나갈래?
Just follow my track
Let’s trip all day
day all day
All night 오늘은 다 미뤄도 될 것 같아"
698,699,32729800,미란아,KURO,12081,2020.07.01,"랩/힙합, 인디음악","미란아 오 미란아 
우리 죽을만큼 사랑했잖아 
미란아 오 미란아 
내가 취해서 그런거니깐
널 처음 봤던건 아마도 13년도 2월쯤에
나는 한눈에 반했고 빠져버려 1초만에
장소도 정확히 기억해 홍대 7층앞에
내 주변 동기선배들 보고 
헉 소리나게 했지
너무 예뻤어 
단발이 널 했어 
그날 밤 달은 마치 두개같아 보였어 
하나는 너였던 것 같아 
좀 오그라들어도 참아줘 
차피 this ain’t no love song
미란아 오 미란아 
내 얘기 좀 들어봐 오 미란아 
이 미련아 이 미련아
망할 미련아 잠시 내려가 
내가 미안하니깐 
그니깐 
그땐 죽을만큼 사랑했잖아 
오 미란아 별건 아냐 
내가 취해서 그런거니깐
누군갈 위해 곡을 썼던건 
너가 첫번째였어
지금 생각해보니깐 것도 시x 노래라고 
그걸 네게 들려줬던 그때 내가 창피하고 
그런 내가 좋다했던 그때 너가 고마워서 
7년이나 지난 지금 다시 한번 써줄게
어린맘에 같이 했던 타투는 아직 발목에
그대로있어 
우리 사이 기억처럼 
많이 흐려지긴했는데
넌 어때 나를 기억하니 
미란아 오 미란아 
내 얘기 좀 들어봐 오 미란아 
이 미련아 이 미련아
망할 미련아 잠시 내려가 
내가 미안하니깐 
그니깐 
그땐 죽을만큼 사랑했잖아 
오 미란아 별건 아냐 
내가 취해서 그런거니깐
며칠전에 친구들과 술을 마시는데 
지난 사랑얘기를 하다가 
너가 문뜩 생각나서
취해서 집에 가는길에 
네이버클라우드 보다보니 
취객.mp3 이란 file 
많이 본듯한데 해서 
아 생각났어 너가 취했을 때 
내게 전화 걸었던 그 날 
너무 귀여워서 녹음을 했었고 
너와 헤어지고나서 
2년뒤에 군대가서 그때 file을 첨부해서 
이때 너무 좋았잖아 미란아 들어봐 하며
메일 한통을 전송했어 맞아 but 
답장이 안와서 조금 머쓱하긴 해도 
걍 너를 응원했어 
저 멀리서 티도 안냈어 
미란아 오 미란아 
내 얘기 좀 들어봐 오 미란아 
이 미련아 이 미련아
망할 미련아 잠시 내려가 
내가 미안하니깐 
그니깐 
그땐 죽을만큼 사랑했잖아 
오 미란아 별건 아냐 
내가 취해서 그런거니깐
아 그리고 하나 더 
우린 아마 운명이 아녔어
왜냐면 그때 보냈던 mail을 다시 보니깐 
발송이 안됐더라고 5년뒤에 알았어
순간 진짜 너무 웃겨 
나는 피식하고 웃었어
그리고 마지막에 너의 근황들을 봤지 난 
feed 에는 이쁜 너의 옆엔 남자친구가 
해외 나가 유학한단 소식들도 들었어 
곧 결혼할 것 같던데 
이건 널 위한 마지막 song
미란아 오 미란아 
내 얘기 좀 들어봐 오 미란아 
이 미련아 이 미련아
망할 미련아 잠시 내려가 
내가 미안하니깐 
그니깐 
그땐 죽을만큼 사랑했잖아 
오 미란아 별건 아냐 
내가 취해서 그런거니깐
미란아 오 미란아 
우리 죽을만큼 사랑했잖아 
미란아 오 미란아 
내가 취해서 그런거니깐"
699,700,38211140,사랑아 너는 나를 위해 울어줄 수 있니,이재경,1552,2024.11.14,"인디음악, 록/메탈","쉽게 물들어 버리는 마음을 봐요
금방 떠나가 버리는 그 마음을
지쳐 달아난 시간을 그리워해요
나는 내일을 살고 싶은데

사랑아 너는 나를 위해 울어줄 수 있니?
외로운 바다 안고 살아가는 중이라서
이런 내 마음을 눈물로 가득히 채워 주겠니
사랑을 하자 밀려오는 저 파도 너머에
아아 – 

깊게 머물다 가려는 마음을 봐요
금방 시들어버리는 그 마음을
쉽게 젖어 드는 마음을 감춰봐요
나는 그 마음이 두려운걸요
자주 슬퍼하는 나라서 미안해

사랑아 너는 나를 위해 울어줄 수 있니?
외로운 바다 안고 살아가는 중이라서
이런 내 마음을 눈물로 가득히 채워 주겠니
시린 밤도 마주하게 하는 무거운 눈물로 아아 –
너의 사랑은 나를 살게 하고

사랑아 너는 나를 위해 울어줄 수 있니?
외로운 바다 안고 살아가는 내게
사랑아 나를 영원토록 품어줄 수 있니?
이 마음 안에 밝은 빛이 가득하도록
저 파도 너머 사랑을 하자"
700,701,37881422,"불꽃, 놀이",CHEEZE (치즈),3529,2024.08.09,"발라드, 인디음악","이길 수 없는 게임
너조차 모르게
짧게 피어올라 난
너를 위해 춤추고
너를 위해 다시 사라질 테니

나를 보며 웃어줘 
적어도 오늘만큼은
서로라고 생각해
내 마음 초라하지 않게
너만 사랑하는 내 두 눈이 
하찮지 않게
널 위해 빛나는 날 껴안아줘

우린 우릴 사랑했지
우리는 날 다 태웠지
이렇게 널 사랑하다
혼자 녹아 사라져도 
우린 우릴 사랑했지 

넌 항상 그렇게 
아무 생각 없이
쉽게 망가트려 날
아름답다 말하고
아무렇지 않게 내버려두지

나를 위해 웃어줘 
적어도 오늘만큼은
사랑이라 생각해
내 마음 비참하지 않게
너만 바라보는 내 두 눈이
하찮지 않게 
널 위해 빛나는 날 껴안아줘 

우린 우릴 사랑했지
우리는 날 다 태웠지
이렇게 널 사랑하다
혼자 녹아 사라져도
우린 우릴 사랑했지
이렇게 널 사랑하다
혼자 녹아 사라져도
우린 우릴 사랑했지"
701,702,36968546,여름에 두었다,숀 (SHAUN),6280,2023.11.16,"인디음악, 포크/블루스","서늘해진 어둠에 창문을 열었다
바람이 바뀌고 계절은 끝났다
차창 밖 풍경처럼 빠르게 지나 닿은
이 계절은 매번 낯설다

생각도 표정도 없이
창문을 열어두고서 침대에 몸을 뉘었다
아직 뜨거운 낮의 온기에 눈을 뜰 수 있다면
그저 좋을 것만 같아

오늘도 멀어졌다 네 흔적으로부터
이 시간은 멈춰 선 나를 끌고 간다
손을 뻗어내어도 더 멀어져만 가는
네 모습은
그 해 여름에 두었다

몇 주를 미루다 옷장을 정리했다
입지도 않는 옷을 잔뜩 모았다
어디다 두었는지 까맣게 잊고 있던
이 셔츠에 아직 네가 묻었다

천천히 소리도 없이
아무도 모르게 점점 지워질 줄만 알았다
아픔이 가라앉은 가운데 따듯함이 남은 건
정말 다행인 것 같아

오늘도 멀어졌다. 네 흔적으로부터
이 시간은 멈춰 선 나를 끌고 간다
손을 뻗어내어도 더 멀어져만 가는
네 모습은
그 해 여름에 두었다

솔직히 두려웠다 다시 돌아가는 게
다시 같은 문제 또 같은 말들로 서로 아픈 게
그 말과 상황속에도 항상 우린 함께였단 걸
난 왜 그땐 몰랐을까

오늘도 멀어진다 내 마음으로부터
사실 당장이라도 뒤돌아보고 싶다
손을 뻗어내기엔 이미 멀어져있는
네 모습은
네 손짓은
네 미소는
그 해 여름에 두겠다"
702,703,38465523,왜 우리의 사랑은 흉터가 됐나,밀리그램 (MILLIGRAM),72,2025.01.18,"R&B/Soul, 인디음악","왜 우리의 사랑은 흉터가 됐나
함께 보냈던 날들은 참 예뻤는데

우리는 이제
우리란 이름은 아니어도
oh 아름답게 기억될 수는 없는 건가

사랑은 원래 이리도 잔인하고
이렇게 가슴이 미어지고
하루에 몇 번씩 마음 한 곳이 아리는 건가요

사람은 언젠가 시간으로
지나간 사랑을 이해하고
또 다른 사랑을 할 수 있게 되는 거 맞나요


왜 우리의 사랑은 흉터가 됐나
너무 서투른 탓에 그런 것 같은데

서로의 온도가 조금 달랐던 그때 우리는
oh 서로를 향해 달려갔을 뿐인데

사랑은 원래 이리도 잔인하고
이렇게 가슴이 미어지고
하루에 몇 번씩 마음 한 곳이 아리는 건가요 

사람은 언젠가 시간으로
지나간 사랑을 이해하고
또 다른 사랑을 찾아 떠나가야만 하나요"
703,704,4026622,Nothing Without You,10CM,51616,2013.02.04,"인디음악, 포크/블루스","너의 책상 너의 만년필
A4종이에 남긴 메세지
한참을 멍하니 
바라보다가도 문득
너의 남방 너의 청바지
낡은 냄새가 배인 목도리
한참을 멍하니 
만져보다가도 문득
I'm nothing without you 
I'm nothing without you
종일 웃고 있다가도
I'm nothing without you
I'm nothing without you
괜한 운이 좋을 때도
너의 장난 우스갯소리
테입에 담긴 너의 노랫말
한참을 멍하니 
듣고 있다가도 문득
사람들과 인사를 하고
짓궂은 얘길 웃어 넘기고
아무일도 없이
아무런 걱정 없이 
일상을 살다가도
I'm nothing without you 
I'm nothing without you
종일 웃고 있다가도
I'm nothing without you
I'm nothing without you
괜한 운이 좋을 때도
want you to know that
want you to know that
want you to know that
want you to know that
want you to know that
want you to know that"
704,705,31709525,Seattle Alone,볼빨간사춘기,42581,2019.04.02,"인디음악, 포크/블루스","그때 꿈만 같았던 그 도시에서 나
어쩌면 난 널
잊어버려야 할지도 몰라
널 두고 떠나온 지금에
그 도시에서 나
자꾸만 찾고 있어 you
네 목소릴 듣고 싶어
나도 그렇다 말하고 싶어
We were dancing through the night
We were walking through the night
아무도 없던
그 거리에서 노랠 부르고
빛나던 네가 그 옆엔 내가
두 손을 잡고
이 거리를 다시 돌아보면
I'm in a city alone
I'm in a city alone
I'm in a city alone
I'm in a city alone
Take me back to Seattle
그때 두렵지 않았다면
그 어떤 말이라도
내게 해 준다면
wanna hear you
네 목소릴 듣고 싶어
나도 그렇다 말하고 싶어
We were dancing through the night
We were walking through the night
아무도 없던
그 거리에서 노랠 부르고
빛나던 네가 그 옆엔 내가
두 손을 잡고
이 거리를 다시 돌아보면
I'm in a city alone
I'm in a city alone
I'm in a city alone
I'm in a city alone
네가 떠난 그 도시에 여전히 나
Alone alone alone alone
Back in through the night
walking through the night
돌아가고 싶어 널 찾고 싶어
I'm in a city alone
We were dancing through the night
We were walking through the night
아무도 없던
그 거리에서 노랠 부르고
빛나던 네가 그 옆엔 내가
두 손을 잡고
이 거리를 다시 돌아보면
I'm in a city alone
I'm in a city alone
I'm in a city alone
I'm in a city alone"
705,706,36907872,처음이니까,오왠 (O.WHEN),2378,2023.10.26,"발라드, 인디음악","지나갈 것 같던 이야기들도
어느새 내 귓가에 맴돌고
희미해진 달에 빛의 크기도
언젠가 다시 밝아오겠지
있다면 말을 해줘 내게 음음
다시 한번 손이라도 뻗어보게
없어도 말은 해줘 매일
우리 몰래 닿을 수도 있잖아
슬픈 밤이 찾아오면 기댈 곳도 하나 없는데
이런 밤을 잡아줘요 매일 우린 처음이니까
울고 싶을 땐 울어도 돼
아무도 내 이야길 듣지 않아
한숨만 길게 늘어 지는 날은
우린 모두 똑같으니까
슬픈 밤이 찾아오면 기댈 곳도 하나 없는데
이런 밤을 잡아줘요 매일 우린 처음이니까
그래 난 가끔 생각이 많아져요
나만 겁이 많은 걸까
아직 이곳은 내게 버거워서
잠에 들기가 무서워요
슬픈 밤이 찾아오면 기댈 곳도 하나 없는데
이런 나를 잡아줘요 매일 우린 처음이니까지
나갈 것 같던 이야기들도
언젠가 다시 밝아오겠지"
706,707,31666416,전설,잔나비,26825,2019.03.13,"인디음악, 록/메탈","전설 
그 푸르른 눈동자에 날 태워줘 
내 방황을 멈추어 줘 하루빨리 
날 데려가 줘 
번쩍 
내 최후의 발악이야 
불꽃놀이 그 마지막 순간이야 
남김없이 불태워야 해 
그댄 나를 
사랑이라 불러 주오 
그리되어 드리리 오늘 밤 
나 그대의 품에 안겨서 
입을 맞추고 
rock n’ roll save my life 
함락 
남겨진 마음끼리 
피 흘리고 또 할퀴고 깨물어서 
더는 더는 찾을 이 없대도 
그댄 나를 
사랑이라 불러 주오 
그리되어 드리리 오늘 밤 
나 그대의 품에 안겨서 
입을 맞추고 
rock n’ roll save my life 
Save my life 
날 그대의 품에 안아줘 
입을 맞춰줘 
품에 안겨서 
입을 맞추고 
rock n’ roll 
wave your flag"
707,708,31752241,이별하기 좋은 날씨,정동원,21237,2019.04.20,"발라드, 인디음악","올해 봄은 꽃도 빨리 지고
하늘이 높아
이렇게 파란 하늘을 보며
우리 이별해야 해
항상 온 몸으로 붙잡던
나 처음으로 너에게
오늘 마지막으로 만나
덤덤하게 말했어
농담처럼 웃었어
마치 내일 만날 것처럼
항상 끝난게 우리 진짜
끝난게 아니지
늘 괴롭히고 몰아쳐도
차마 하지 못한 말
이렇게 좋은 날 해야 하니
이별하기 좋은 날씨
이별하기 좋은 날씨
너무 하늘이 예뻐 눈물이 날 날씨
이별하기 좋은 날씨
이별하기 좋은 날씨
계속 쳐다보게만 되는 날씨
4월은 잔인하지 않은지 풍경이 좋대
이렇게 많은 사람들 속에
우리 이별해야 해
항상 함께 있고 싶던 신림
그 사과나무 카페에
오늘 마지막 만나려고
여기 너를 불렀어
날은 점점 저물고
이제 몇 시간도 남지 않았어
우리 오늘 이후 정말
못 보는게 안 믿겨
이 짧은 시간 동안 우리
뭘 하는게 좋을까
시간은 초조하게 가는데
이별하기 좋은 날씨
이별하기 좋은 날씨
너무 하늘이 예뻐 눈물이 날 날씨
이별하기 좋은 날씨
이별하기 좋은 날씨
계속 쳐다보게만 되는 날씨
마지막으로 붙잡을까
멋지게 돌아설까 나 사실 말야
못난 내 맘은 단 한번도
어느 누군가를 이렇게
아름답게 보낸 적 없는데
이별하기 좋은 날씨
이별하기 좋은 날씨
널 만나기 좋은 날씨
널 만나기 좋은 날씨
많은 추억들에 눈물이 날 날씨
널 만나러 가는 날씨
두 번 다시 못 만날 날씨
계속 쳐다보게만 되는 날씨
평생 내 눈에 넣고 싶은 날씨"
708,709,35207535,아무도 그대를 바라지 않는,알레프 (ALEPH),5585,2022.05.26,"인디음악, 록/메탈","슬픔을 아름답게
보는 게 문제라고
습관처럼 말하던
그대는 어디에
기웃대는 짐승들은
그대를 이해 못하지
남겨진 것들은 모두
어디로 간 걸까
아무도 그대를 바라지 않는
그곳은 너무도 답답해
다르고 달랐던
높은 그댈
이제 보내주리
그댄 하늘 위에 구름 같아
어디로든 가야만 해
남겨진 모두가 언젠가는
비를 맞겠지
달리 할 수 있는 게
달라지는 것뿐이라
매일 아침 눈을 뜨던
그대는 어디에
가벼웠어
그래 가벼웠어
타고 남은
재처럼 가여웠어
가려졌던 그 모습은
어디로 간 걸까
아무도 그대를 바라지 않는
그곳은 너무도 답답해
다르고 달랐던
높은 그댈
이제 보내주리
그댄 하늘 위에 구름 같아
어디로든 가야만 해
남겨진 모두가 언젠가는
비를 맞겠지
그대의 낯선 모습들까지
사랑하지 못한
남겨진 우린 여기 서서
비를 맞겠지
그댄 하늘 위의 구름 같아
어디로든 가야만 해
남겨진 모두가 언젠가는
비를 맞겠지
아무도 그대를 바라지 않는
그곳은 너무도 답답해
다르고 달랐던
높은 그댈
이제는 보내주리
그댄 하늘 위에 구름 같아
어디로든 가야만 해
남겨진 모두가 언젠가는
비를 맞겠지"
